rownum,date,hallprint_id,pit_id,species,river,site,site_no,length,hallprint_color,hallprint1,hallprint2,sex,recap,event,manhours
170,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
171,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
172,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
173,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
174,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
175,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
176,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
177,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
178,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
179,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
180,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
181,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
182,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
183,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
184,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
185,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
186,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
187,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
188,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
189,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
190,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
191,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
192,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
193,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
194,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
195,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
196,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
197,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
198,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
199,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
200,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
201,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
202,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
203,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
204,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
205,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
206,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
207,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
208,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
209,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
210,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
211,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
212,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
213,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
214,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
215,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
216,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
217,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
218,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
